source_signature,taxonomy_group,mapped_pass_uid_count,inside_original_2478_universe,metatraits_local_snapshot_covered,bacdive_closure_available_if_checked,recommended_status,example_pass_uids,taxid,organism_name,source_resolution_level,metatraits_coverage_probe_present,bacdive_prior_2478_closure_present,notes
taxon:1893|organism:streptomyces atratus,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A224AU14,1893,Streptomyces atratus,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:189918|organism:mycobacterium sp. (strain kms),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A1UFU2,189918,Mycobacterium sp. (strain KMS),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:190386|organism:agrobacterium tumefaciens (strain 15955),target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0A3F9; P0A3W1,190386,Agrobacterium tumefaciens (strain 15955),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:1914933|organism:siminovitchia terrae (bacillus terrae),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A429XCI2,1914933,Siminovitchia terrae (Bacillus terrae),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:198107|organism:aromatoleum sp. (strain cib) (azoarcus sp. (strain cib)),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXG4,198107,Aromatoleum sp. (strain CIB) (Azoarcus sp. (strain CIB)),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:2040732|organism:cladobotryum sp,target_fungi,10,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A7T8F1I4; A0A7T8F1J6; A0A7T8F1J7; A0A7T8F1L1; A0A7T8F1L3,2040732,Cladobotryum sp,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:208962|organism:escherichia albertii,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXA3,208962,Escherichia albertii,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:2545762|organism:caulobacter sp. (strain rhg1),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DTK9,2545762,Caulobacter sp. (strain RHG1),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:255776|organism:apiospora montagnei (sphaeria apiospora),target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P9WEK1,255776,Apiospora montagnei (Sphaeria apiospora),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:263819|organism:yersinia aleksiciae,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXA5,263819,Yersinia aleksiciae,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:264198|organism:cupriavidus pinatubonensis (strain jmp 134 / lmg 1197) (cupriavidus necator (strain jmp 134)),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,O51799,264198,Cupriavidus pinatubonensis (strain JMP 134 / LMG 1197) (Cupriavidus necator (str,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:269797|organism:methanosarcina barkeri (strain fusaro / dsm 804),target_archaea,3,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P61816; Q465Z7; Q46CH5,269797,Methanosarcina barkeri (strain Fusaro / DSM 804),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:273384|organism:brevibacterium aurantiacum,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A2H1K3G9,273384,Brevibacterium aurantiacum,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:2840457|organism:nocardioides sp. (strain lms-cy),target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXG6; P0DXG7,2840457,Nocardioides sp. (strain LMS-CY),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:2842348|organism:pseudomonas canavaninivorans,target_bacteria,5,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXC4; P0DXC5; P0DXC6; P0DXC7; P0DXC8,2842348,Pseudomonas canavaninivorans,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:28565|organism:talaromyces thermophilus,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,C0HMB0,28565,Talaromyces thermophilus,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:293387|organism:bacillus altitudinis,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A8F4N283,293387,Bacillus altitudinis,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:29455|organism:deinonema sp,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P33168,29455,Deinonema sp,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:306543|organism:paenibacillus harenae,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DTL2,306543,Paenibacillus harenae,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:327061|organism:annulohypoxylon truncatum (hypoxylon truncatum),target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P9WER0,327061,Annulohypoxylon truncatum (Hypoxylon truncatum),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:342955|organism:lacinutrix mariniflava,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DW53,342955,Lacinutrix mariniflava,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:344747|organism:gimesia maris (strain atcc 29201 / dsm 8797 / 534-30) (planctomyces maris),target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DX11; P0DX12,344747,Gimesia maris (strain ATCC 29201 / DSM 8797 / 534-30) (Planctomyces maris),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:350054|organism:mycolicibacterium gilvum (strain pyr-gck) (mycobacterium gilvum (strain pyr-gck)),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A4T9I1,350054,Mycolicibacterium gilvum (strain PYR-GCK) (Mycobacterium gilvum (strain PYR-GCK),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:350623|organism:stereocaulon alpinum (alpine snow lichen) (stereocaulon paschale var. alpinum),target_fungi,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A8F4PN06; A0A8F4SN83,350623,Stereocaulon alpinum (Alpine snow lichen) (Stereocaulon paschale var. alpinum),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:359787|organism:staphylococcus aureus (strain jh1),target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A6U025; A6U413,359787,Staphylococcus aureus (strain JH1),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:395598|organism:pseudomonas reinekei,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,C5MR76,395598,Pseudomonas reinekei,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:395961|organism:cyanothece sp. (strain pcc 7425 / atcc 29141),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,B8HU22,395961,Cyanothece sp. (strain PCC 7425 / ATCC 29141),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:397457|organism:gulbenkiania mobilis,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DV42,397457,Gulbenkiania mobilis,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:399741|organism:serratia proteamaculans (strain 568),target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A8G8E0; A8GKK1,399741,Serratia proteamaculans (strain 568),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:40296|organism:penicillium italicum (blue mold),target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,Q12664,40296,Penicillium italicum (Blue mold),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:41061|organism:aspergillus nomiae (aspergillus nomius),target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P9WEK0,41061,Aspergillus nomiae (Aspergillus nomius),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:41900|organism:aspergillus flavipes,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A8K1AY78,41900,Aspergillus flavipes,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:426368|organism:methanococcus maripaludis (strain c7 / atcc baa-1331),target_archaea,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A6VJ23,426368,Methanococcus maripaludis (strain C7 / ATCC BAA-1331),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:439184|organism:escherichia coli o18:k1:h7 (strain rs218 / nmec),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DX54,439184,Escherichia coli O18:K1:H7 (strain RS218 / NMEC),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:442694|organism:xanthomonas perforans,target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DV28; P0DV29,442694,Xanthomonas perforans,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:444158|organism:methanococcus maripaludis (strain c6 / atcc baa-1332),target_archaea,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A9A6R1,444158,Methanococcus maripaludis (strain C6 / ATCC BAA-1332),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:471223|organism:geobacillus sp. (strain wch70),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,C5D6M6,471223,Geobacillus sp. (strain WCH70),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:51671|organism:microbacterium sp,target_bacteria,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXE4; P0DXE5,51671,Microbacterium sp,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:525146|organism:desulfovibrio desulfuricans (strain atcc 27774 / dsm 6949 / mb),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,B8J3A4,525146,Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949 / MB),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:52586|organism:uncinula necator (grape powdery mildew),target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,O14442,52586,Uncinula necator (Grape powdery mildew),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:53249|organism:pseudoalteromonas sp,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXZ1,53249,Pseudoalteromonas sp,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:543734|organism:lacticaseibacillus casei (strain bl23) (lactobacillus casei),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,B3W963,543734,Lacticaseibacillus casei (strain BL23) (Lactobacillus casei),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:56467|organism:ampulloclitocybe clavipes (club foot) (clitocybe clavipes),target_fungi,3,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P9WEI5; P9WEI6; P9WEI7,56467,Ampulloclitocybe clavipes (Club foot) (Clitocybe clavipes),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:578113|organism:cytospora mali (apple valsa canker fungus) (valsa mali),target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A194WDG1,578113,Cytospora mali (Apple Valsa canker fungus) (Valsa mali),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:591153|organism:pseudomonas syringae pv. syringae (strain ff5),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXE7,591153,Pseudomonas syringae pv. syringae (strain FF5),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:63559|organism:penicillium amagasakiense,target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P81156,63559,Penicillium amagasakiense,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:649831|organism:actinoplanes sp. (strain n902-109),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,R4LHX8,649831,Actinoplanes sp. (strain N902-109),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:665079|organism:sclerotinia sclerotiorum (strain atcc 18683 / 1980 / ss-1) (white mold) (whetzelinia sclerotiorum),target_fungi,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A1D9Q0B7,665079,Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzel,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:696747|organism:limnospira platensis (strain nies-39 / utex 3086 / iam m-135) (arthrospira platensis),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXD4,696747,Limnospira platensis (strain NIES-39 / UTEX 3086 / IAM M-135) (Arthrospira plate,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:766760|organism:bacillus paralicheniformis (strain atcc 9945a / ncimb 11709 / cd-2),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DW08,766760,Bacillus paralicheniformis (strain ATCC 9945a / NCIMB 11709 / CD-2),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:76775|organism:malassezia restricta (seborrheic dermatitis infection agent),target_fungi,5,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A8R9YVA6; A0A8R9YZM7; A0A8R9Z3C6; A0A8R9Z5V5; P9WEM7,76775,Malassezia restricta (Seborrheic dermatitis infection agent),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:872331|organism:mesomycoplasma hyorhinis (strain hub-1) (mycoplasma hyorhinis),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DXB0,872331,Mesomycoplasma hyorhinis (strain HUB-1) (Mycoplasma hyorhinis),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:903899|organism:acinetobacter baumannii (strain is-123),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A0J9X285,903899,Acinetobacter baumannii (strain IS-123),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:904690|organism:penicillium shearii (eupenicillium shearii),target_fungi,2,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,A0A8D5M3Y5; P9WEK2,904690,Penicillium shearii (Eupenicillium shearii),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:935845|organism:paenibacillus sp. (strain j14),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DTL1,935845,Paenibacillus sp. (strain J14),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:96045|organism:nocardia uniformis subsp. tsuyamanensis,target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,Q5J1R4,96045,Nocardia uniformis subsp. tsuyamanensis,taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
taxon:96241|organism:bacillus spizizenii (bacillus subtilis subsp. spizizenii),target_bacteria,1,false,not_checked,NOT_IN_PRIOR_2478_CLOSURE,PENDING_TEACHER_DECISION,P0DV09,96241,Bacillus spizizenii (Bacillus subtilis subsp. spizizenii),taxon_organism,not_checked,false,"Delta rescued-asset-linked source outside original 2,478 universe; pending teacher decision; not merged into main lookup"
